route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8892007:8893401:10:822:20230312,Termonde,11000,,1,,1
2,000002,88____:049::8891009:8891702:2:42:20230407,Ostende,11000,,2,,1
3,000003,88____:049::8812146:8893401:5:40:20230204,Termonde,11000,,3,,1
4,000004,88____:049::8895208:8892601:4:100:20230401,Audenarde,11000,,4,,1
5,000005,88____:049::8891009:8891660:5:654:20230212,Knokke,11000,,5,,1
6,000006,88____:049::8895802:8892601:12:2530:20230428,Audenarde,11000,,6,,1
7,000007,88____:049::8892007:8892106:3:616:20230305,Deinze,11000,,7,,1
8,000008,88____:049::8892106:8896008:4:2455:20230414,Courtrai,11000,,8,,1
9,000009,88____:049::8892007:8896008:6:2512:20230421,Courtrai,11000,,9,,1
1,000001,88____:049::8892007:8893401:10:922:20230312,Termonde,11001,,10,,1
2,000002,88____:049::8891009:8891702:2:159:20230407,Ostende,11001,,11,,1
10,000010,88____:049::8893542:8892007:6:56:20230401,Gand-Saint-Pierre,11001,,12,,1
5,000005,88____:049::8891009:8891660:8:838:20230212,Knokke,11001,,13,,1
11,000011,88____:049::8814308:8886009:4:104:20230324,Ath,11001,,14,,1
7,000007,88____:049::8892007:8892106:3:716:20230305,Deinze,11001,,15,,1
12,000012,88____:049::8891009:8892007:10:2421:20230316,Gand-Saint-Pierre,11001,,16,,1
2,000013,88____:049::8891009:8891702:2:36:20230411,Ostende,11001,,17,,1
2,000014,88____:049::8891009:8891702:2:42:20230428,Ostende,11001,,18,,1
9,000015,88____:049::8892007:8896008:6:212:20230422,Courtrai,11001,,19,,1
1,000001,88____:049::8892007:8893401:10:1022:20230312,Termonde,11002,,20,,1
7,000016,88____:049::8892007:8892106:3:616:20230205,Deinze,11002,,21,,1
5,000005,88____:049::8891009:8891660:8:938:20230212,Knokke,11002,,22,,1
7,000007,88____:049::8892007:8892106:3:816:20230305,Deinze,11002,,23,,1
12,000017,88____:049::8892007:8891009:10:2438:20230323,Bruges,11002,,24,,1
11,000018,88____:049::8814308:8886009:4:104:20230325,Ath,11002,,25,,1
8,000019,88____:049::8892106:8896008:4:2455:20230407,Courtrai,11002,,26,,1
2,000020,88____:049::8891009:8891702:2:159:20230428,Ostende,11002,,27,,1
6,000021,88____:049::8895802:8892601:12:2530:20230420,Audenarde,11002,,28,,1
